No,Left,Right,Total Distance,Date
1,10.711,8.658,136.869,21-12-16 09:23:59
2,10.723,8.661,136.884,21-12-16 09:26:38
3,10.7,8.684,136.885,21-12-16 09:33:23
4,10.699,8.682,136.881,21-12-16 09:33:27
5,10.708,8.68,136.888,21-12-16 09:36:48
6,10.715,8.67,136.885,21-12-16 09:48:06
7,10.706,8.678,136.885,21-12-16 09:49:26
8,10.707,8.679,136.886,21-12-16 09:49:29
9,10.705,8.678,136.883,21-12-16 09:49:33
10,10.704,8.679,136.883,21-12-16 09:49:36
11,10.703,8.679,136.882,21-12-16 09:49:39
12,10.703,8.681,136.883,21-12-16 09:49:41
13,10.702,8.681,136.882,21-12-16 09:49:44
14,10.702,8.681,136.882,21-12-16 09:49:47
15,10.706,8.678,136.884,21-12-16 09:50:20
16,10.705,8.678,136.883,21-12-16 09:50:23
17,10.706,8.677,136.883,21-12-16 09:50:26
