No,Left,Right,Total Distance,Date
1,6.786,2.959,127.238,22-01-19 09:48:13
2,6.804,2.979,127.277,22-01-19 11:10:17
3,6.82,2.97,127.283,22-01-19 11:12:31
4,6.819,2.974,127.287,22-01-19 11:20:12
5,6.778,3.767,128.039,22-01-19 11:20:16
6,3.106,6.961,127.561,22-01-19 11:20:20
7,3.82,6.261,127.575,22-01-19 11:20:24
8,6.693,3.356,127.543,22-01-19 11:20:27
9,5.597,4.172,127.262,22-01-19 11:20:31
10,4.866,5.189,127.549,22-01-19 11:20:35
11,5.222,6.683,129.398,22-01-19 11:20:40
12,4.121,5.635,127.249,22-01-19 11:20:44
13,5.815,3.941,127.25,22-01-19 11:20:48
14,6.822,2.969,127.286,22-01-19 11:23:51
15,6.748,3.794,128.036,22-01-19 11:23:56
16,3.11,6.957,127.561,22-01-19 11:24:00
17,3.787,6.267,127.548,22-01-19 11:24:05
18,6.831,2.964,127.289,22-01-19 11:25:26
19,6.753,3.795,128.042,22-01-19 11:25:30
20,3.111,6.957,127.562,22-01-19 11:25:34
21,3.789,6.269,127.552,22-01-19 11:25:38
22,6.699,3.36,127.553,22-01-19 11:25:42
23,5.597,4.173,127.264,22-01-19 11:25:46
24,4.859,5.2,127.553,22-01-19 11:25:50
25,5.22,6.686,129.4,22-01-19 11:25:54
26,4.14,5.619,127.253,22-01-19 11:25:57
27,5.808,3.948,127.251,22-01-19 11:26:01
28,6.828,2.966,127.288,22-01-19 11:32:10
29,6.742,3.808,128.044,22-01-19 11:32:14
30,6.836,2.987,127.317,22-01-19 13:03:35
31,6.722,3.862,128.078,22-01-19 13:03:39
32,3.132,6.967,127.593,22-01-19 13:03:43
33,3.785,6.313,127.592,22-01-19 13:03:46
34,6.681,3.404,127.579,22-01-19 13:03:50
35,5.607,4.19,127.291,22-01-19 13:03:54
36,4.899,5.212,127.605,22-01-19 13:03:58
37,5.15,6.766,129.411,22-01-19 13:04:02
38,4.169,5.619,127.282,22-01-19 13:04:06
39,5.815,3.971,127.28,22-01-19 13:04:10
40,6.832,2.99,127.316,22-01-19 13:04:25
41,0,0,0,22-01-19 14:03:44
42,0,0,0,22-01-19 14:03:48
43,0,0,0,22-01-19 14:03:52
44,0,0,0,22-01-19 14:03:55
45,0,0,0,22-01-19 14:03:58
46,0,0,0,22-01-19 14:04:02
47,0,0,0,22-01-19 14:04:05
48,0,0,0,22-01-19 14:05:22
49,0,0,0,22-01-19 14:05:26
50,6.427,3.383,127.304,22-01-19 14:07:24
51,4.748,5.82,128.062,22-01-19 14:07:28
52,3.282,6.8,127.576,22-01-19 14:07:31
53,5.923,4.156,127.573,22-01-19 14:07:34
54,6.152,3.913,127.558,22-01-19 14:07:38
55,3.269,6.537,127.299,22-01-19 14:07:41
56,2.876,7.207,127.577,22-01-19 14:07:44
57,4.759,7.148,129.401,22-01-19 14:07:48
58,4.232,5.55,127.276,22-01-19 14:07:51
59,6.078,3.691,127.263,22-01-19 14:07:55
60,6.424,3.387,127.305,22-01-19 14:08:19
61,6.401,3.409,127.304,22-01-19 14:08:41
62,4.741,5.827,128.062,22-01-19 14:08:45
63,3.28,6.804,127.578,22-01-19 14:08:48
64,5.914,4.165,127.573,22-01-19 14:08:51
65,6.159,3.908,127.561,22-01-19 14:08:55
66,3.247,6.54,127.281,22-01-19 14:08:58
67,2.86,7.214,127.567,22-01-19 14:09:01
68,4.745,7.159,129.398,22-01-19 14:09:05
69,4.235,5.531,127.26,22-01-19 14:09:08
70,6.077,3.692,127.263,22-01-19 14:09:11
71,6.381,3.43,127.304,22-01-19 14:09:23
72,4.744,5.828,128.065,22-01-19 14:09:26
73,3.284,6.801,127.58,22-01-19 14:09:29
74,5.908,4.177,127.579,22-01-19 14:09:33
75,6.17,3.896,127.561,22-01-19 14:09:36
76,3.244,6.543,127.281,22-01-19 14:09:39
77,2.857,7.217,127.568,22-01-19 14:09:43
78,4.762,7.146,129.402,22-01-19 14:09:46
79,4.233,5.544,127.272,22-01-19 14:09:49
80,6.078,3.689,127.261,22-01-19 14:09:53
81,6.367,3.439,127.3,22-01-19 14:15:13
82,4.722,5.839,128.056,22-01-19 14:15:17
83,3.283,6.794,127.571,22-01-19 14:15:20
84,5.889,4.183,127.566,22-01-19 14:15:23
85,6.153,3.909,127.555,22-01-19 14:15:27
86,3.23,6.554,127.278,22-01-19 14:15:30
87,2.851,7.224,127.57,22-01-19 14:15:33
88,4.779,7.134,129.407,22-01-19 14:15:37
89,6.012,3.765,127.271,22-01-19 14:15:40
90,7.006,2.759,127.258,22-01-19 14:15:44
91,2.939,6.852,127.284,22-01-19 14:40:36
92,4.755,5.783,128.032,22-01-19 14:40:39
93,5.824,4.224,127.542,22-01-19 14:40:43
94,5.041,5.009,127.545,22-01-19 14:40:46
95,5.452,4.588,127.534,22-01-19 14:40:49
96,3.575,6.184,127.253,22-01-19 14:40:53
97,2.798,7.249,127.541,22-01-19 14:40:56
98,5.182,6.711,129.387,22-01-19 14:40:59
99,3.297,6.447,127.238,22-01-19 14:41:03
100,6.967,2.772,127.233,22-01-19 14:41:06
101,2.979,6.812,127.285,22-01-19 14:41:27
