No,Left,Right,Total Distance,Date,비고
1,6.74,3.293,127.527,2022-02-03 13:39,dd
2,6.767,3.276,127.537,2022-02-03 13:39,hhh
3,5.837,6.053,129.384,2022-02-03 13:39,454646
4,4,4,4,2022-02-03 13:39,아나
5,6.72,3.017,127.231,2022-02-03 13:40,4
6,6.843,2.926,127.263,2022-02-03 13:39,dasd
7,5.954,4.081,127.529,2022-02-03 13:39,안녕
8,7.109,2.925,127.528,2022-02-03 13:40,b
9,6.397,4.136,128.027,2022-02-03 13:40,jjj
10,6.72,3.017,127.231,2022-02-03 13:40, 
11,6.611,3.424,127.528,2022-02-03 13:40,jjjk
12,6.762,3.278,127.534,2022-02-03 13:40, 
13,5.835,6.058,129.387,2022-02-03 13:40, 
14,7.091,2.64,127.225,2022-02-03 13:40, 
15,7.082,2.691,127.267,2022-02-03 13:40, 
16,6.822,2.929,127.246,2022-02-03 13:40, 
17,5.945,4.089,127.528,2022-02-03 13:40, 
18,7.111,2.926,127.531,2022-02-03 13:40, 
19,7.028,3.494,128.015,2022-02-03 13:40, 
20,7.035,2.701,127.23,2022-02-03 13:40, 
21,6.606,3.428,127.528,2022-02-03 13:41, 
22,6.755,3.284,127.532,2022-02-03 13:41, 
23,5.819,6.073,129.386,2022-02-03 13:41, 
24,7.086,2.648,127.228,2022-02-03 13:41, 
25,7.072,2.699,127.265,2022-02-03 13:41, 
26,6.819,2.932,127.245,2022-02-03 13:41, 
27,5.93,4.109,127.533,2022-02-03 13:41, 
28,7.109,2.926,127.528,2022-02-03 13:41, 
29,7.027,3.495,128.016,2022-02-03 13:41, 
30,7.02,2.718,127.231,2022-02-03 13:41, 
